LEA_NAME,STATE,ZIP,OP
Amphitheater Unified District (4406),ARIZONA,85705,22
Antelope Union High School District (4506),ARIZONA,85356,2
Legacy Traditional School - Maricopa (88360),ARIZONA,85286,1
Eduprize Schools LLC (89412),ARIZONA,85142,2
Scottsdale Preparatory Academy (89756),ARIZONA,85034,1
Sage Academy Inc. (89414),ARIZONA,85022,1
Apache Elementary District (4178),ARIZONA,85632,1
Concordia Charter School Inc. (89556),ARIZONA,85201,2
Pima County JTED (89380),ARIZONA,85741,53
Imagine Desert West Middle Inc. (89563),ARIZONA,85035,1
Freedom Academy Inc. (89506),ARIZONA,85032,2
Imagine Camelback Middle Inc. (89561),ARIZONA,85053,1
Arete Preparatory Academy (89486),ARIZONA,85034,1
